,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,IN_TREINEIRO,TP_SEXO,TP_ESCOLA,TP_COR_RACA,SG_UF_PROVA
2401255,441.9,477.6,424.9,436.3,740.0,0,F,2,1,MA
3283840,415.9,490.0,300.0,396.8,480.0,0,F,2,2,MT
1745004,403.0,371.8,460.2,411.0,620.0,0,F,2,1,SP
2781081,,,,,,1,F,1,1,DF
1712844,466.3,545.3,548.1,486.9,720.0,0,M,2,1,PE
839510,,,,,,0,F,1,1,SP
775495,,440.0,533.4,,660.0,0,F,1,3,BA
1348409,,,,,,0,F,1,3,AM
3040163,569.4,428.9,337.1,704.6,580.0,0,M,1,1,RS
329325,460.7,515.8,475.2,454.1,580.0,0,M,1,3,MA
1821167,427.1,471.5,462.7,644.4,500.0,0,F,2,1,SP
3290834,477.1,484.5,453.1,429.7,680.0,1,F,1,0,PB
709071,461.1,459.1,520.7,634.1,700.0,0,F,2,1,BA
2090564,479.5,575.0,521.2,554.8,920.0,0,F,1,3,RJ
931132,480.6,632.0,571.3,735.0,800.0,0,M,3,1,RJ
3228381,,385.9,403.6,,660.0,1,M,1,1,MG
1649202,,,,,,0,M,2,1,PI
780863,459.1,559.6,593.5,644.7,660.0,1,F,1,1,SP
379074,556.9,509.9,562.6,445.5,580.0,0,F,1,3,DF
3371707,504.2,509.6,520.9,634.2,560.0,1,F,1,3,DF
2601862,,,,,,0,F,1,3,SE
252606,540.2,504.7,587.5,581.8,800.0,0,F,2,1,SP
799432,,,,,,0,M,2,1,PA
492663,489.1,525.6,509.5,480.9,680.0,0,F,1,3,CE
2719111,,,,,,0,F,3,1,PR
2496682,606.5,637.4,644.5,781.8,860.0,0,M,3,1,DF
3222572,,,,,,0,M,1,3,RN
1004519,431.2,458.5,529.9,598.6,580.0,0,M,2,3,CE
2862071,455.5,517.4,473.9,394.8,620.0,0,F,1,3,MG
1616624,,,,,,0,F,1,1,SP
1966326,704.7,623.0,623.1,611.5,960.0,0,F,1,2,SP
91218,,,,,,0,F,1,3,PI
1902015,393.9,512.4,539.1,603.5,680.0,1,F,1,1,CE
604150,560.7,594.6,599.6,600.2,580.0,0,M,2,1,RJ
562957,,,,,,0,F,1,1,SC
920507,538.0,561.3,553.7,491.6,780.0,0,F,1,3,SE
2082943,452.3,541.7,468.9,490.0,800.0,0,F,1,3,MG
808092,593.3,535.0,412.2,541.6,540.0,0,M,2,3,DF
11488,479.5,563.7,587.0,407.1,820.0,0,F,1,1,PE
1622084,460.4,420.8,508.0,391.0,540.0,0,M,2,1,SP
96578,,,,,,0,F,1,1,ES
2913857,,,,,,0,F,1,1,CE
3204964,,,,,,0,F,1,1,RN
676583,637.9,646.8,654.3,758.7,760.0,0,M,2,1,SP
1964291,444.5,406.7,523.0,411.1,560.0,0,F,1,3,RJ
325284,443.6,386.3,452.3,370.8,400.0,0,F,2,5,BA
1755817,436.1,508.4,476.6,515.0,0.0,0,F,2,3,SE
2174026,545.6,615.3,555.7,437.8,600.0,0,M,1,3,PA
81997,,,,,,0,F,1,3,DF
2599273,576.9,647.9,612.7,627.9,940.0,0,F,1,1,PB
2174083,,,,,,0,M,1,1,AC
1553490,410.3,541.4,504.7,487.4,560.0,0,M,1,1,PA
1344367,409.2,576.7,530.7,458.3,580.0,0,F,2,1,RO
2902881,412.4,463.1,473.6,382.1,340.0,0,F,2,1,DF
3143209,,,,,,0,M,1,1,RN
1837477,,,,,,0,F,1,2,TO
540044,,,,,,0,F,1,1,SP
1431941,544.8,570.8,559.1,544.0,840.0,0,M,1,3,BA
2264682,475.8,472.8,390.7,439.4,0.0,1,F,1,1,PB
771338,,,,,,0,F,1,3,PA
1504936,462.3,459.9,462.4,459.0,540.0,0,F,1,2,PI
1534383,,,,,,0,F,1,1,RJ
858703,,,,,,0,M,1,3,RN
3428410,,,,,,0,F,1,3,PA
1095324,,,,,,0,F,1,3,AL
1727937,,,,,,0,M,1,1,BA
569244,490.9,476.9,418.9,443.8,560.0,0,M,1,2,MA
3060596,436.6,533.7,575.2,558.2,680.0,1,M,1,1,AM
2598641,433.6,518.4,471.3,496.5,620.0,1,F,1,3,MG
1671958,491.4,518.4,482.6,437.4,720.0,1,F,1,3,PB
1657368,,,,,,0,F,2,1,MS
238439,589.3,655.5,644.4,706.0,920.0,0,F,1,1,MG
1088020,415.8,526.3,481.7,428.7,480.0,0,F,2,3,RJ
3427924,,,,,,1,F,1,1,PI
2175373,582.7,625.0,624.9,629.3,860.0,0,F,3,1,RJ
602176,718.2,713.0,625.2,867.8,960.0,0,M,1,1,PE
199402,511.4,472.5,444.0,664.3,820.0,0,F,1,2,SP
836332,414.6,,,381.8,,1,F,1,3,RR
680832,,,,,,0,F,1,3,CE
916670,542.1,544.4,496.5,442.5,600.0,0,M,1,3,PA
2525368,,,,,,0,M,2,3,RO
1597890,532.9,460.8,478.8,479.2,600.0,0,F,1,1,PR
2605773,477.8,495.2,481.8,561.8,860.0,0,F,2,3,SC
2342754,429.1,424.7,541.3,648.3,620.0,0,M,2,1,MG
1148605,428.1,474.4,403.0,410.0,600.0,1,F,1,2,PR
740993,424.6,554.1,519.0,511.3,0.0,1,F,1,3,MT
714618,450.1,517.0,556.3,518.7,720.0,0,M,2,2,GO
13566,,382.6,625.3,,740.0,0,F,1,3,MG
3037227,566.6,603.0,601.5,729.6,780.0,0,M,1,1,SP
1821861,,,,,,0,F,1,3,BA
2520685,376.6,447.7,366.1,463.5,540.0,0,F,2,3,PA
3082977,,,,,,0,F,1,3,MA
505289,481.5,488.4,545.0,393.2,760.0,0,F,2,1,RJ
9066,438.7,427.4,392.0,602.5,680.0,1,M,1,2,PE
2152588,467.3,527.1,474.5,583.9,660.0,0,F,2,2,MG
815214,435.0,362.6,483.6,407.9,480.0,0,M,2,3,MT
2441791,586.6,547.4,567.6,577.5,740.0,0,F,1,1,CE
3413877,,,,,,0,M,1,3,RN
702698,537.0,544.9,446.2,750.1,760.0,0,M,2,3,PB
2188455,,,,,,0,M,1,1,SP
2028539,481.8,550.8,603.0,481.1,340.0,0,F,2,1,SP
2284111,548.1,542.1,418.5,454.0,560.0,0,M,2,3,GO
2659557,450.6,572.0,550.4,583.8,680.0,0,F,2,1,AM
695632,536.0,538.2,519.0,541.4,740.0,0,F,1,1,PE
1855497,576.9,537.3,544.8,647.2,660.0,0,M,1,1,SP
2036885,,358.6,371.7,,280.0,0,M,2,4,MG
2823923,485.8,536.8,443.5,642.6,0.0,0,M,2,1,RS
